"Application Id","Created","Client Id","First Name","Last Name","Sub Account","Email","Phone","Loan Amount","Lead UUID","Status","Max Approved Amount","Representative","Address","City","State","Zip Code","Employment Status","Job Type","Employment Pay Frequency","Military","Employer Name","Months at Employer","Credit Score","Annual Gross Income","Housing Type","Education Level","Graduate Degree Type","University Attended","Employment Pay Frequency","Loan Purpose","Offer URL","Response","Preffered Lender","Customer UUID","Purl ID","Purl URL","Birth Date","Age","Co app email","Custom debt interest rate","Custom debt balance pre offer","Co app ssn number","Co app mobile","Current interest rate","Custom debt current monthly payment","Agent email","Custom debt projected total paid","Current debt balance","Custom debt extra interest paid","Custom debt projected payoff","Current balance","Campaign","Current payment","Interest paid","Amount paid","Agent last name","Payoff balance","Customer uuid","Agent first name","Socialsecuritynumber","Phonenumber","Spanishlanguage","Firstinput","Secondinput","Phonenumber1","Socialsecuritynumber1","Phonenumber2","Socialsecuritynumber2","Test123","Enteremail","Enter email","Lender offer limit","Median offer","Credit api status","Ssn number","Months at address","Monthly rent","Is Co-applicant?","Co app first name","Co app last name","Co app address1","Co app city","Co app state","Co app zipcode","Co app dob","Co app annual income","Monthly income","Special offer","Uncheck pre offer","Second status","Ip address","Posting ip address","User agent","Offer limit","App sent ip address","Custom rail response","Decision amount","Reference id","Rejected reason","Results url","Is purl application","Requested uuid","Uuid","User First Name","User Last Name","User Email","User Mobile","App submitted ip address","Clicked offer type","Is drp clicked","Vcl lender id","Clicked lender","Lender name","Loan amount","Apr","Loan term","Total repayment","Monthly payment","Origination fee","Work phone","Email1","Purl source","Purl application Purl id","Purl application Purl url","Created by","Release result","Post back status","Post back status sent","Rail2ooo","Rail2mmm","Rail2m","Rail2o","Auto submitted","Freedom id","Driver license number","Driver license state","Own home","Bank aba","Bank name","Bank phone","Bank account type","Bank account number","Job type","Pay day 1","Pay day 2","Best time to call","Direct deposit","Months at bank","Redirect url","Is sold","Funded lender","Vendor price","Sent email schduler 0","Sent email schduler 1","Second look response","Sent sms schduler 0","Sent sms schduler 1","Sold amount","Last submitted","Unique lc id","Dpp unique id"
"60ff98f55b7d3e0785bfd6b0","07/27/2021",34698,"Linda","Kkicfyrj","My Company","linda@apptest.life","7567986584",42400,,"Rejected","-","","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed","Employed","Weekly","No","test",60,"Excellent (720+)",450000,"Rent","Bachelors","other","na","Weekly","Auto","","https://demo.fitsyn.com/json/60ff98f55b7d3e0785bfd6b0",,"1723035",,,"2003-04-23",18,"rex_3we14b93d@yopmail.com","14.39","$12,759.00","666035125","2343511122",,,"jonathan@apptest.life","$23,983.97",,"$11,224.97","20.83Yrs",,"Attorney",,,,"Werner",,"1723035","Joe",,,,,,,,,,,,,false,false,"error","000-00-0000","9","700","true","REX","JJMKWW","7479 LKKRGXYH DR","BIRMINGHAM","MO","35209","1969-10-10","20000","37500",true,true,"rejected","157.38.70.223","157.38.70.223","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0","2","157.38.70.223","{""type"":""https://tools.ietf.org/html/rfc7231#section-6.5.1"",""title"":""One or more validation errors occurred."",""status"":400,""traceId"":""00-e46566ef11839942b47cf22021392984-7638c8499764b84f-00"",""errors"":{""$.annual_gross_income"":[""The JSON value could not be converted to System.Int32. Path: $.annual_gross_income | LineNumber: 0 | BytePositionInLine: 230.""]}}",42400,"","Invalid. The input parameters did not meet validation requirements; no details were passed to lenders.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60ff98cb5b7d3e0785bfd61c","07/27/2021",34697,"Linda","Kkicfyrj","My Company","linda@apptest.life","7567986584",42400,,"Rejected","-","","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed","Employed","Weekly","No","test",60,"Excellent (720+)",450000,"Rent","Bachelors","other","na","Weekly","Auto","","https://demo.fitsyn.com/json/60ff98cb5b7d3e0785bfd61c",,"1723035",,,"2003-04-23",18,"rex_3we14b93d@yopmail.com","14.39","$12,759.00","666035125","2343511122",,,"jonathan@apptest.life","$23,983.97",,"$11,224.97","20.83Yrs",,"Attorney",,,,"Werner",,"1723035","Joe",,,,,,,,,,,,,false,false,"error","000-00-0000","9","700","true","REX","JJMKWW","7479 LKKRGXYH DR","BIRMINGHAM","MO","35209","1969-10-10","20000","37500",true,true,"rejected","157.38.70.223","157.38.70.223","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0","2","157.38.70.223","{""type"":""https://tools.ietf.org/html/rfc7231#section-6.5.1"",""title"":""One or more validation errors occurred."",""status"":400,""traceId"":""00-e9e955eec77a5a4ab0a7c16d01136e31-010daf0b5dee5e4c-00"",""errors"":{""$.annual_gross_income"":[""The JSON value could not be converted to System.Int32. Path: $.annual_gross_income | LineNumber: 0 | BytePositionInLine: 230.""]}}",42400,"","Invalid. The input parameters did not meet validation requirements; no details were passed to lenders.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60ff98895b7d3e0785bfd5a3","07/27/2021",34696,"Linda","Kkicfyrj","My Company","modeltesting871a@yopmail.com","7567986584",42400,,"Rejected","-","","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed","Employed","Weekly","No","test",60,"Excellent (720+)",450000,"Rent","Bachelors","other","na","Weekly","Auto","","https://demo.fitsyn.com/json/60ff98895b7d3e0785bfd5a3",,"1723035",,,"2003-04-23",18,"rex_3we14b93d@yopmail.com","14.39","$12,759.00","666035125","2343511122",,,"jonathan@apptest.life","$23,983.97",,"$11,224.97","20.83Yrs",,"Attorney",,,,"Werner",,"1723035","Joe",,,,,,,,,,,,,false,false,"error","000-00-0000","9","700","true","REX","JJMKWW","7479 LKKRGXYH DR","BIRMINGHAM","MO","35209","1969-10-10","20000","37500",true,true,"rejected","157.38.70.223","157.38.70.223","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0","2","157.38.70.223","{""type"":""https://tools.ietf.org/html/rfc7231#section-6.5.1"",""title"":""One or more validation errors occurred."",""status"":400,""traceId"":""00-3b2f9cb4c1d9f949a616d83fb8d00ae8-5f2a092b5a9a3040-00"",""errors"":{""$.annual_gross_income"":[""The JSON value could not be converted to System.Int32. Path: $.annual_gross_income | LineNumber: 0 | BytePositionInLine: 230.""]}}",42400,"","Invalid. The input parameters did not meet validation requirements; no details were passed to lenders.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60ff98535b7d3e0785bfd4ee","07/27/2021",34695,"Linda","Kkicfyrj","My Company","modeltesting871a@yopmail.com","7567986584",42400,,"Rejected","-","","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed","Employed","Weekly","No","test",60,"Excellent (720+)",450000,"Rent","Bachelors","other","na","Weekly","Auto","","https://demo.fitsyn.com/json/60ff98535b7d3e0785bfd4ee",,"1723035",,,"2003-04-23",18,"rex_3we14b93d@yopmail.com","14.39","$12,759.00","666035125","2343511122",,,"jonathan@apptest.life","$23,983.97",,"$11,224.97","20.83Yrs",,"Attorney",,,,"Werner",,"1723035","Joe",,,,,,,,,,,,,false,false,"error","000-00-0000","9","700","true","REX","JJMKWW","7479 LKKRGXYH DR","BIRMINGHAM","MO","35209","1969-10-10","20000","37500",true,true,"rejected","157.38.70.223","157.38.70.223","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0","2","157.38.70.223","{""type"":""https://tools.ietf.org/html/rfc7231#section-6.5.1"",""title"":""One or more validation errors occurred."",""status"":400,""traceId"":""00-7c4362d8dab15c44827c95c579948b0f-7c0c3d286d10be44-00"",""errors"":{""$.annual_gross_income"":[""The JSON value could not be converted to System.Int32. Path: $.annual_gross_income | LineNumber: 0 | BytePositionInLine: 230.""]}}",42400,"","Invalid. The input parameters did not meet validation requirements; no details were passed to lenders.","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60faee248f3c9c0869fd0adf","07/23/2021",34694,"Bill","Testcase","My Company","test@mail.com","2345254411",12500,"","Offers available","-","Admin Admin","1600 SUNFLOWER AVE","COSTA MESA","CA","92626","Self employed",,"Monthly","No",,,"Excellent",450000,"Own outright","High school","other","na","Monthly","Business","https://loanenroll.demoserver.biz/offers.html?vendor_id=5db2cadd07492e00180353d3&application_id=60faee248f3c9c0869fd0adf","https://demo.fitsyn.com/json/60faee248f3c9c0869fd0adf","",,,,"1989-05-08",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,"completed","000-00-0015",,,"false",,,,,,,,,,true,,"offers_available","103.240.34.166",,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36","2","103.240.34.166",,12500,,,,false,"fe4e5ca0-ebd2-11eb-b93b-d59dc2c4cc1a","","Admin","Admin","admin@uat.com","0000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60fae2be8f3c9c0869fd0991","07/23/2021",34693,"Bill","Testcase","My Company","test@mail.com","2345254411",42400,,"Offers available","-","Admin Admin","1600 SUNFLOWER AVE","COSTA MESA","CA","92626",,"Self Employed","Monthly","No","Test","15","Good (660-720)",125000,"Home Owner","Bachelors","other","na","Monthly","Business","","https://demo.fitsyn.com/json/60fae2be8f3c9c0869fd0991","",,,,"1991-01-01",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,"completed","000-00-0015","42","700","false","","","","","","","","","10417",,,"offers_available","103.240.34.166",,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36","2","103.240.34.166",,42400,"",,"",false,,,"Admin","Admin","admin@uat.com","0000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60fa9590388e2e0637aa7156","07/23/2021",34692,"Jason","Statham","My Company","mock+265@evenfinancial.com","2345254411",42400,"7dfafcf2-fc46-4038-b1e6-114c708f7a0c","Offers available",100000,"","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed",,"Weekly","No",,,"Excellent",450000,"Rent","High school","other","na","Weekly","Auto","https://loanenroll.demoserver.biz/offers.html?vendor_id=5db2cadd07492e00180353d3&application_id=60fa9590388e2e0637aa7156","https://demo.fitsyn.com/json/60fa9590388e2e0637aa7156","SoFi",,,,"1988-04-04",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,"completed","747-47-4747",,,"false",,,,,,,,,,true,,"offers_available","157.38.70.223","157.38.44.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0","2","157.38.70.223",,42400,,,,,"8a3e8720-ee9a-11eb-aa73-415dc892a8f5","c58d2096-e18e-471b-84b3-20058315871f",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60fa9529388e2e0637aa7127","07/23/2021",34691,"Jason","Statham","My Company","mock+265@evenfinancial.com","2345254411",42400,"87aa0f16-bb8c-4b92-ac4e-f19ad7829a7d","Offers available",100000,"","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed",,"Weekly","No",,,"Excellent",450000,"Rent","High school","other","na","Weekly","Auto","https://loanenroll.demoserver.biz/offers.html?vendor_id=5db2cadd07492e00180353d3&application_id=60fa9529388e2e0637aa7127","https://demo.fitsyn.com/json/60fa9529388e2e0637aa7127","SoFi",,,,"1988-04-04",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,"completed","747-47-4747",,,"false",,,,,,,,,,true,,"offers_available","43.241.146.191","157.38.44.238","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36","2","43.241.146.191",,42400,,,,,"7dc17de0-ebb6-11eb-b65c-65e6173764d9","c05efa25-822b-45f1-b0d7-4954843ba896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60fa9523388e2e0637aa70fb","07/23/2021",34690,"Jason","Statham","My Company","mock+265@evenfinancial.com","2345254411",42400,"451a3fb3-bfe1-4b66-a024-bec8e12640f4","Offers available",100000,"","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed",,"Weekly","No",,,"Excellent",450000,"Rent","High school","other","na","Weekly","Auto","https://loanenroll.demoserver.biz/offers.html?vendor_id=5db2cadd07492e00180353d3&application_id=60fa9523388e2e0637aa70fb","https://demo.fitsyn.com/json/60fa9523388e2e0637aa70fb","SoFi",,,,"1988-04-04",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,"completed","747-47-4747",,,"false",,,,,,,,,,true,,"offers_available","157.38.70.223","157.38.44.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0","2","157.38.70.223",,42400,,,,,"99a9fa00-ee9a-11eb-aa73-415dc892a8f5","225292ca-1592-4010-8bbf-5a7a7d913c51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"60fa94f3388e2e0637aa70b3","07/23/2021",34689,"Jason","Statham","My Company","mock+265@evenfinancial.com","2345254411",42400,,"Not submitted","-","","4922 LIJJNQAW YWXXNQW WAY APT 30","COTTONWOOD HEIGHTS","NJ","84121","Employed",,"Weekly","No",,,"Excellent (720+)",450000,"Rent","Bachelors","other","na","Weekly","Auto","","https://demo.fitsyn.com/json/60fa94f3388e2e0637aa70b3",,,,,"1988-04-04",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,"new","747-47-4747",,,"false",,,,,,,,,"37500",true,,"not_submitted","157.38.44.238","157.38.44.238","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Cypress/8.0.0 Chrome/89.0.4328.0 Electron/12.0.0-beta.14 Safari/537.36","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
